    PID TTY          TIME CMD
 469355 ?        00:00:00 wireplumber
 469356 ?        00:00:00 pipewire-pulse
 469359 ?        00:00:00 dbus-daemon
 469380 ?        00:00:00 sshd
 470420 ?        00:00:00 kworker/5:0-cgroup_destroy
 470471 ?        00:00:00 sshd
 470477 ?        00:00:00 systemd
 470478 ?        00:00:00 (sd-pam)
 470493 ?        00:00:00 pipewire
 470494 ?        00:00:00 wireplumber
 470495 ?        00:00:00 pipewire-pulse
 470500 ?        00:00:00 dbus-daemon
 470502 ?        00:00:00 sshd
 470909 ?        00:00:00 sshd
 470917 ?        00:00:00 sshd
 470918 ?        00:00:00 sftp-server
 470923 ?        00:00:00 kworker/6:0-ata_sff
 470948 ?        00:00:00 kworker/1:0
 470952 ?        00:00:00 sshd
 470960 ?        00:01:30 sshd
 470961 ?        00:00:09 sftp-server
 470966 ?        00:00:00 sshd
 470973 ?        00:01:30 sshd
 470974 ?        00:00:09 sftp-server
 471030 ?        00:00:00 kworker/u16:0-nfsiod
 471140 ?        00:00:00 kworker/0:2-events
 471294 ?        00:00:02 kworker/u16:1-nfsiod
 471472 ?        00:00:00 kworker/6:2-ata_sff
 471485 ?        00:00:00 sleep
 471670 ?        00:00:00 kworker/5:2-events
 471735 pts/4    00:00:00 ssh
 471736 pts/4    00:00:00 grep
 471737 ?        00:00:00 sshd
 471747 ?        00:00:00 sshd
 471748 ?        00:00:00 ps
375
